Country Name,Country Code,Series,Series Code,2010 [YR2010],2014 [YR2014],2018 [YR2018]
Argentina,ARG,"Illiterate population, 25-64 years, both sexes (number)",UIS.ILLPOP.AG25T64,161473,160786,166717
Bolivia,BOL,"Illiterate population, 25-64 years, both sexes (number)",UIS.ILLPOP.AG25T64,..,..,..
Brazil,BRA,"Illiterate population, 25-64 years, both sexes (number)",UIS.ILLPOP.AG25T64,9201677,7758773,6306355
Chile,CHL,"Illiterate population, 25-64 years, both sexes (number)",UIS.ILLPOP.AG25T64,181946,..,..
Colombia,COL,"Illiterate population, 25-64 years, both sexes (number)",UIS.ILLPOP.AG25T64,1284400,1191477,1054679
Ecuador,ECU,"Illiterate population, 25-64 years, both sexes (number)",UIS.ILLPOP.AG25T64,435477,336334,..
Peru,PER,"Illiterate population, 25-64 years, both sexes (number)",UIS.ILLPOP.AG25T64,..,819530,802248
Paraguay,PRY,"Illiterate population, 25-64 years, both sexes (number)",UIS.ILLPOP.AG25T64,145716,131180,145358
Uruguay,URY,"Illiterate population, 25-64 years, both sexes (number)",UIS.ILLPOP.AG25T64,23578,20036,18875
,,,,,,
,,,,,,
,,,,,,
Data from database: Education Statistics - All Indicators,,,,,,
Last Updated: 10/12/2023,,,,,,
